lat,lon,Enb.avg_income,Enb.woz,Enbp.high_education,Enbp.independent,Enbp.low_education,Enbp.unemployed,Gcb.buurt,Gcb.buurtcode,Inp.Grey,Pnb.cohesion,Pnb.diversity,Pnb.good_life,Pnb.pop,Pnbp.complains_aq,Pnbp.complains_noise,Pnbp.feels_unsafe,Pnbp.mostly_by_car,Pnbp.mostly_walking,Pnbp.unhappy,Vc.milieuzone,Vc.mode_species,Vc.mode_tree_species,Vn.PM10_avg_2020,Vn.PM10_avg_2021,Vn.PM10_avg_2022,Vn.med_tree_height,Vn.number_species,Vn.number_tree_species,Vn.number_trees,Vn.prec_ann,Vn.tavg_ann,Vnp.Green
51416,5463,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.35114858555828826,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Es,,,,16.5,,10.0,27.0,64.5,9.945994059244791,0.95
51416,5464,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.5424999091004363,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Es,,,,16.5,,6.0,10.0,64.5,9.945994059244791,0.95
51416,5465,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.8343865684496486,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Es,,,,7.5,,4.0,11.0,64.5,9.945994059244791,0.95
51416,5466,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.299912386078454,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Zomereik,,,,15.0,,1.0,2.0,,,0.95
51416,5467,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.2282385338617768,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,LYSIMACHIA VULGARIS,Zomereik,,,,15.0,1.0,1.0,4.0,64.5,9.945994059244791,0.95
51416,5468,,,,,,,Gennep,726,0.14984888829531948,,,,0.0,,,,,,,0,,Zomereik,,,,13.5,,2.0,15.0,64.5,9.945994059244791,0.95
51416,5469,,,,,,,Gennep,726,0.17419506240182053,,,,0.0,,,,,,,0,,Zomereik,,,,13.5,,4.0,13.0,64.5,9.945994059244791,0.95
51416,5470,,,,,,,Gennep,726,0.23119631787393208,,,,0.0,,,,,,,0,,Wilg,,,,10.5,,4.0,20.0,64.5,9.945994059244791,0.95
51416,5471,,,,,,,Gennep,726,0.3560193378563434,,,,0.0,,,,,,,0,,Zomereik,,,,13.5,,1.0,12.0,64.5,9.945994059244791,0.95
51416,5472,,,,,,,Gennep,726,0.2369862496830471,,,,0.0,,,,,,,0,,Zomereik,,,,16.5,,1.0,14.0,64.5,9.945994059244791,0.95
